Year,UORN_D,UORN_N,UORN_U,FuelConsumption,Kilometres,CylindersinEngine,Price
2013,0.0,0.0,1.0,6.8,123517,4,14999
2019,0.0,0.0,1.0,7.4,145821,4,32990
2013,0.0,0.0,1.0,,102000,,46990
2008,0.0,0.0,1.0,8,146862,4,8990
2018,0.0,0.0,1.0,7.4,45512,4,22990
2019,0.0,0.0,1.0,9.5,27951,4,59990
2018,0.0,0.0,1.0,4.8,66964,4,18990
2018,0.0,0.0,1.0,7.2,51966,4,21990
2017,0.0,0.0,1.0,7.9,172450,4,17995
2023,0.0,1.0,0.0,7.1,15,4,24690
2017,0.0,0.0,1.0,4.7,65737,4,23990
2019,0.0,0.0,1.0,6.4,41278,4,24888
2017,0.0,0.0,1.0,,155894,,34999
2013,0.0,0.0,1.0,6.2,152373,4,16990
2017,0.0,0.0,1.0,9.2,63000,6,81990
2007,0.0,0.0,1.0,8.4,235600,4,7995
2017,0.0,0.0,1.0,8.9,35766,4,36990
2017,0.0,0.0,1.0,8.8,233069,4,21990
2017,0.0,0.0,1.0,7.2,131897,4,21888
2015,0.0,0.0,1.0,7.3,102890,4,29950
2016,0.0,0.0,1.0,5.6,105363,4,24995
2018,0.0,0.0,1.0,7.9,88501,4,26495
2014,0.0,0.0,1.0,7.1,119130,4,14995
2016,0.0,0.0,1.0,,164371,,33990
2014,0.0,0.0,1.0,7.5,113018,6,71950
2016,0.0,0.0,1.0,9,167746,5,32999
2009,0.0,0.0,1.0,8.7,297935,6,8990
2008,0.0,0.0,1.0,9.1,186419,4,9999
2016,0.0,0.0,1.0,10,130920,6,24990
2009,0.0,0.0,1.0,9.1,196264,4,13999
2021,0.0,0.0,1.0,8.3,30787,4,38990
2023,0.0,1.0,0.0,7.3,15,3,34990
2019,0.0,0.0,1.0,7.4,63718,4,24990
2022,0.0,0.0,1.0,6.3,2524,4,30000
2017,0.0,0.0,1.0,,165578,,28999
2016,0.0,0.0,1.0,5.8,112908,4,25990
2022,0.0,1.0,0.0,6.7,15,4,19490
2012,0.0,0.0,1.0,8,178792,4,24900
1999,0.0,0.0,1.0,10.5,118778,4,29888
2000,0.0,0.0,1.0,11.5,369953,4,5990
2017,0.0,0.0,1.0,,122780,,32990
2016,0.0,0.0,1.0,6.2,97437,4,14995
2013,0.0,0.0,1.0,8.8,148000,4,16999
2017,0.0,0.0,1.0,6.9,33257,4,28888
2006,0.0,0.0,1.0,10,180139,4,15995
2017,0.0,0.0,1.0,8.2,66025,6,59900
2011,0.0,0.0,1.0,5.9,78907,4,17999
2015,0.0,0.0,1.0,5.4,94375,4,14888
2017,0.0,0.0,1.0,6,152494,4,22800
2011,0.0,0.0,1.0,,129301,,19350
2018,0.0,0.0,1.0,9.7,75921,6,46950
2016,0.0,0.0,1.0,9.6,31393,4,27990
2022,0.0,0.0,1.0,6.3,5507,4,69988
2018,0.0,0.0,1.0,7.4,94193,4,23990
2010,0.0,0.0,1.0,8.4,207245,4,14888
2011,0.0,0.0,1.0,,85654,,14999
2022,0.0,0.0,1.0,10.5,8525,8,219880
2010,0.0,0.0,1.0,7.4,99026,4,12999
2016,0.0,0.0,1.0,10.2,127550,6,21990
2016,0.0,0.0,1.0,4.9,109800,3,12999
2017,0.0,0.0,1.0,,80582,,29990
2017,0.0,0.0,1.0,,91518,,41900
2015,0.0,0.0,1.0,8.6,59081,4,39888
2009,0.0,0.0,1.0,11,149456,6,19880
2011,0.0,0.0,1.0,8.6,200774,4,10950
2010,0.0,0.0,1.0,,110391,,17999
2018,0.0,0.0,1.0,6.8,64378,4,34990
2015,0.0,0.0,1.0,9,95071,4,14990
2008,0.0,0.0,1.0,,193304,,23900
2009,0.0,0.0,1.0,9,111873,4,14990
2016,0.0,0.0,1.0,7.5,55000,4,32999
2012,0.0,0.0,1.0,9.9,171093,6,16995
2011,0.0,0.0,1.0,7.9,40856,4,14880
2010,0.0,0.0,1.0,6.7,135594,4,10990
